network,station,phasetype,Time,Probability,Amplitude
CI,WMFBH,P,2019-07-04T00:46:48.810000Z,0.970676302909851,6.03321404923918e-06
CI,WMFHN,P,2019-07-04T00:46:48.830000Z,0.977662682533264,7.45651959732641e-06
CI,WMFHH,P,2019-07-04T00:46:48.830000Z,0.982461035251617,8.11864902061643e-06
CI,WRV2EH,P,2019-07-04T00:46:49.490000Z,0.984054505825042,2.77399044534832e-06
CI,WRV2HN,P,2019-07-04T00:46:49.490000Z,0.974999725818634,2.59925445789122e-06
CI,WMFBH,S,2019-07-04T00:46:49.700000Z,0.94103592634201,6.03321404923918e-06
CI,WMFHH,S,2019-07-04T00:46:49.710000Z,0.911639511585235,8.11864902061643e-06
CI,WMFHN,S,2019-07-04T00:46:49.750000Z,0.74415785074234,7.45651959732641e-06
CI,WCS2BH,P,2019-07-04T00:46:50.070000Z,0.862505435943603,2.0523573311948e-06
CI,WCS2HN,P,2019-07-04T00:46:50.070000Z,0.848395824432373,2.11067981581436e-06
CI,WCS2HH,P,2019-07-04T00:46:50.080000Z,0.930786073207855,2.90714569928241e-06
CI,JRC2BH,P,2019-07-04T00:46:50.190000Z,0.970737397670745,2.65702306023741e-06
CI,JRC2HN,P,2019-07-04T00:46:50.220000Z,0.976070463657379,3.09792631014716e-06
CI,JRC2HH,P,2019-07-04T00:46:50.220000Z,0.979526460170745,4.50081051894813e-06
CI,WVP2EH,P,2019-07-04T00:46:50.620000Z,0.310814827680587,8.36371498280641e-07
CI,WVP2HN,P,2019-07-04T00:46:50.820000Z,0.358865439891815,1.51746382925921e-06
CI,WRV2EH,S,2019-07-04T00:46:51.030000Z,0.597596347332,9.16889575819369e-07
CI,WRV2HN,S,2019-07-04T00:46:51.120000Z,0.43747192621231,9.99258304545947e-07
CI,WCS2BH,S,2019-07-04T00:46:51.720000Z,0.527785956859588,2.0523573311948e-06
CI,WCS2HN,S,2019-07-04T00:46:51.800000Z,0.552166521549224,2.11067981581436e-06
CI,WCS2HH,S,2019-07-04T00:46:51.800000Z,0.791284382343292,2.90714569928241e-06
CI,JRC2BH,S,2019-07-04T00:46:52.080000Z,0.945294857025146,2.65702306023741e-06
CI,JRC2HN,S,2019-07-04T00:46:52.090000Z,0.897185027599334,3.09792631014716e-06
CI,JRC2HH,S,2019-07-04T00:46:52.090000Z,0.955123364925384,4.50081051894813e-06
CI,WRC2HH,P,2019-07-04T00:46:52.420000Z,0.961499154567718,4.97256110065791e-07
CI,WRC2BH,P,2019-07-04T00:46:52.430000Z,0.933298468589782,4.88561852307612e-07
CI,WNMEH,P,2019-07-04T00:46:52.460000Z,0.966275990009307,5.23292726484215e-07
CI,WNMHN,P,2019-07-04T00:46:52.490000Z,0.938557863235473,1.04344496776321e-06
CI,WRC2HN,P,2019-07-04T00:46:52.560000Z,0.465749740600585,5.7331271818839e-07
CI,WVP2HN,S,2019-07-04T00:46:52.990000Z,0.885990917682647,1.51746382925921e-06
CI,WVP2EH,S,2019-07-04T00:46:52.990000Z,0.853926122188568,8.36371498280641e-07
CI,MPMBH,P,2019-07-04T00:46:53.910000Z,0.911617219448089,2.80164925925419e-07
CI,MPMHH,P,2019-07-04T00:46:53.910000Z,0.865886569023132,1.36939391381929e-07
CI,WRC2HH,S,2019-07-04T00:46:55.910000Z,0.768053889274597,4.97256110065791e-07
CI,WRC2BH,S,2019-07-04T00:46:55.930000Z,0.779486775398254,4.88561852307612e-07
CI,WRC2HN,S,2019-07-04T00:46:56.010000Z,0.757099568843841,5.7331271818839e-07
CI,WNMHN,S,2019-07-04T00:46:56.090000Z,0.854154527187347,1.04344496776321e-06
CI,WNMEH,S,2019-07-04T00:46:56.110000Z,0.757392227649688,5.23292726484215e-07
CI,MPMHH,S,2019-07-04T00:46:58.540000Z,0.773537755012512,1.36939391381929e-07
CI,MPMBH,S,2019-07-04T00:46:58.570000Z,0.716536939144134,2.80164925925419e-07
CI,WMFBH,P,2019-07-04T00:47:30.110000Z,0.796954631805419,7.58330713779287e-07
CI,WMFHH,P,2019-07-04T00:47:30.120000Z,0.975058078765869,6.80792197726987e-07
CI,WMFHN,P,2019-07-04T00:47:30.140000Z,0.849339604377746,7.15336852863402e-07
CI,WRV2EH,P,2019-07-04T00:47:30.780000Z,0.89773005247116,2.54786328923728e-07
CI,WMFHH,S,2019-07-04T00:47:31.010000Z,0.8323575258255,6.80792197726987e-07
CI,WMFBH,S,2019-07-04T00:47:31.030000Z,0.749185979366302,7.58330713779287e-07
CI,WMFHN,S,2019-07-04T00:47:31.160000Z,0.651149690151214,7.15336852863402e-07
CI,WRV2EH,S,2019-07-04T00:47:33.040000Z,0.32772096991539,1.05012261997217e-07
